Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average slary,Min slary,Max slary,age,python,R,power bi
"Sr. Manager, Data Science - Fraud & ML Platform","Overview:
ABOUT OPORTUN

Oportun is a mission-driven, technology-powered provider of inclusive, affordable financial services and a certified Community Development Financial Institution (CDFI).
We seek to serve the 100 million people in the US who are shut out of the financial mainstream because they are credit invisible or are mis-scored because they have limited credit history. By lending money to hardworking, low-to-moderate income individuals, we help them move forward in their lives, demonstrate their creditworthiness, and establish the credit history they need to access new opportunities.
Since 2006, we have lent over $6.8 billion through over 3.1 million affordable small dollar loans and have helped over 730,000 people start establishing credit. In recognition of inventive approach, we were recognized by Time Magazine as one of 50 Genius Companies inventing the future.

The Bay Area News Group recognized Oportun as a Top Workplace in 2019. Come and be a part of our community of employees, partners, and customers who are devoted to expanding financial opportunity for millions. When we work together, we can make life better.
SUMMARY:

We are growing our world-class team of mission-driven, entrepreneurial Data Scientists who are passionate about broadening financial inclusion by untapping insights from credit and non-credit bureau data. Be part of the team responsible for developing and enhancing Oportun’s core intellectual property used in scoring risk for underserved consumers that often lack a traditional credit bureau score or are mis-scored by traditional credit bureaus.
In this role you will be working with large and diverse alternative data sets (i.e. data from dozens of sources including transactional, mobile, utility, other financial services, etc..) utilizing machine learning to build fraud models and strategies for identifying fraud patterns. You will also work closely with Could Engineering team to develop our new generation real-time model deployment platform on AWS.

Responsibilities:
Develop data products and fraud models used in managing fraud risk, verify customer’s identity and provide frictionless customer experience
Build accurate and automated fraud monitorting tools which can help us to keep a close eye on the performance of the models and rules.
Build model deployment platform which can shorten the time of implementing new models.
Build end-to-end reusable pipelines from data acquisition to model output delivery.
Lead initiatives to drive business value from start to finish including project planning, communication and stakeholder management.
Design and build fraud data infrastructure by partnering with data and production engineering teams.
Communicate and partner with third party data vendors.

Qualifications:
A relentless problem solver and out of the box thinker with a proven track record of driving business results in a timely manner
Comfortable in a high-growth, fast-paced and agile environment
Master’s degree or PhD in Statistics, Mathematics, Computer Science, Engineering or Economics or other quantitative discipline (Bachelor’s degree with significant relevant experience will be considered).
5+ years data science experience preferably with fraud models (2+ years) and model platform.
Hands on experience leveraging machine learning techniques such as Gradient Boosting, Clustering, Logistic Regression and Neural Network to solve real world problems
5+ years of hands-on experience with data extraction, cleaning, analysis and building reusable data pipelines; Proficient in SQL, Spark SQL and/or Hive
3+ years of experience in leveraging modern machine learning toolset and programming languages such as Python
Excellent written and oral communication skills
Strong stakeholder management and project management skills
Experience working with AWS EMR, Sagemaker or other cloud based platforms is a plus
#LI-DD1
#IND",4.2,Oportun Inc,"San Carlos, CA",3000,2005,Company - Public,Lending,Finance,Unknown / Non-Applicable,169.0,130,208,15,1,1,1
Data Science Manager,"Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Science Manager to support our Data Science team.
The Data Science Manager will be responsible for leading a team of scientists to develop and improve various models to drive business strategies. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. This position reports to Chief Data Scientist.
Essential Functions:
Mentor and develop team members, and foster a culture of innovation, collaboration, and continuous improvement.
Collaborate with leaders regarding data science strategies.
Provide reports about model performance to end users.
Tuning existing models, if needed.
Collaboration with Risk Management to resolve outstanding issues and support documentation quickly and efficiently as required.
The ideal candidate will have the following:
Master's degree in related field or higher education required.
Expert knowledge of classical statistical techniques such as linear regression and maximum likelihood regression.
Minimum 4 years of experience building and leading high performing teams responsible for developing models.
Expert knowledge of machine learning and AI methods including CART, Random Forests and XGBoost.
Creating complex custom data queries in SQL.
Creating complex data models in SAS or R or Python.
Creating complex data visualizations in Tableau.
Why Continental Finance?
Continental Finance Company (“CFC”) is one of America’s leading marketers and servicers of credit cards for consumers with less-than-perfect credit. Since the Company’s founding in 2005, CFC has prided itself on its corporate responsibility to customers in terms of a strong customer support program, fair treatment and responsible lending. With our success, we have also grown into an innovative financial tech company! With a state-of-the-art consumer underwriting, marketing and servicing platform, we provide a variety of services to our consumers when other financial institutions will not accommodate them. We are proud to provide access to credit products and excellent services to consumers who are largely overlooked by traditional credit card issuers.
CFC is seeking bright, energetic individuals that will help us grow and develop together! We uphold a promise to treat our employees with the same care and concern as we do our customers. We offer all employees competitive compensation and benefits in an exciting, fast-paced business casual environment. Join our growing team and apply online today at https://continentalfinancecompany.easyapply.co!
Job Type: Full-time
Pay: $130,000.00 - $140,000.00 per year
Benefits:
401(k)
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Ability to Commute/Relocate:
Wilmington, DE 19808 (Required)
Education:
Master's (Required)
Experience:
Machine Learning: 4 years (Preferred)
Python: 3 years (Preferred)
Management: 4 years (Preferred)
Work Location:
One location
Work Remotely:
Yes, temporarily due to COVID-19",4.1,"Continental Finance Company, LLC","Wilmington, DE",125,2005,Company - Private,Lending,Finance,Unknown / Non-Applicable,120.0,89,151,15,1,1,1
Operations Data Analyst,"Make your mark. With more than $17.2 billion of assets under management, Plante Moran’s Wealth Management Team serves as a trusted advisor to more than 2,900 high net worth individuals, family business owners, and corporate retirement plans helping them build, manage and preserve their wealth. Our integrated affiliate services include investment consulting, financial planning, trust, insurance consulting, estate planning, business succession, and tax planning.

Your role.
Your work will include, but not be limited to:
Setup and closing of portfolios
Daily manual data entry of financial institution and/or custodian account data
Daily investment data review and reconciliation
Develop, maintain and implement policies and procedures for department
Assist in testing and roll out of system upgrades, system integration and new technology
The qualifications.
3+ years business experience in the investment, banking or accounting field preferred
Detail-oriented leader with strong analytical, problem-solving, and communication (written and verbal) skills
High school diploma or GED equivalent
Associates degree in Business, IT, Accounting or Finance is preferred, but not required
Proficiency in Microsoft Office applications, including Excel.
Qualified individuals must either reside in or near the Kalamazoo or Grand Rapids, MI area or be willing to relocate to the area for this opportunity. This position may require some local or national travel.
Our difference.
We are a nationally recognized public accounting, consulting, and wealth management firm, consistently ranked as one of FORTUNE magazine’s “100 Best Companies to Work For.” At Plante Moran, we live by the Golden Rule, fostering a relatively “jerk-free” culture with the lowest staff turnover rate in the industry. Our supportive network of well-rounded professionals is excited to catapult your growth and help pave your pathway to professional excellence.

Apply now. Make your mark.

This is a non-exempt position, so you may have to work hours that exceed the standard 40-hour work week.

Plante Moran is an Equal Opportunity Employer, committed to a diverse workplace.

Interested applicants must submit their resume for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Candidates must be legally authorized to work in the United States without sponsorship, with the exception of candidates that are bilingual in Japanese and English. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and become the property of Plante Moran.

The specific statements above are not intended to be all-inclusive.",3.8,Plante Moran,"Kalamazoo, MI",3000,1924,Company - Private,Accounting,Accounting & Legal,$500 million to $1 billion (USD),49.0,36,62,96,0,1,1
Data Analyst,"Overview:
At Grow Financial, we believe in service—to our 200,000+ members, 550+ team members and local communities. We know happy, engaged people provide the best service, so we live by our mantra: Be Bold. Be Great. Have Fun. (Especially the fun part!) Yes, our work is serious, but we don’t take ourselves too seriously. Consistently named a Top Workplace by the Tampa Bay Times and a Great Place to Work among 100 Best Medium Workplaces by FORTUNE Magazine®, we cultivate a positive, collaborative work environment where you can grow personally and professionally. In fact, 94% of our team members say Grow is a great place to work. And the most common word they use to describe the Grow culture? Family.
Responsibilities:
Performs advanced business analysis using various techniques, e.g. statistical analysis, predictive modeling, machine learning and data mining. Responsible for gaining an in-depth understanding of business problems as it relates to the visibility (insights), and feasibility an analytic solution would provide. Works closely with functional areas and business leaders to identify analytical requirements. This includes development and deployment of analytic models, supporting overall Grow and departmental strategic objectives, recommending profitable and/or cost-effective solutions that enhance member experiences or modernize processes; and collaborating with business partners to promote data-driven decision making.

Data Analytics
Interprets and analyzes large amounts of data using exploratory mathematical and statistical techniques.
Builds predictive models, selects features, and optimizing classifiers using machine learning techniques.
Identifying and extending credit union’s data capabilities with third-party sources of information.
Processing, cleansing, and verifying the integrity of data used for analysis.
Analyzes problems and determines root causes.

Business Analysis
Works with functional areas and business leaders to identify analytical requirements and define a problem statement.
Identify assumptions, limitations, constraints, and the key metrics of success to business problems.
Summarize analytical data into user-friendly reports translating highly technical, detailed data into appropriate recommendations and key metrics requested by management and various business lines.
Advise business partners on options, constraints, risks, costs, and benefits of proposed projects.
Qualifications:
Bachelor of Arts/Science degree from an accredited college or university in Statistics, Mathematics, Computer Science or related discipline required. Master’s degree preferred.
3 – 5 years of work experience with financial, analytical, or related research experience required.
Expert knowledge of Microsoft Office applications (Word, Excel, and Power Point) required.
Strong quantitative analysis skills using statistical software such as R, SQL and Python required.
Experience working with large datasets. Extensive knowledge of statistical methodologies including hypothesis testing, linear regression, modeling, simulation, and analysis of variance.
Knowledge of relational database technology and business intelligence tools (e.g. Tableau).
Must be comfortable working on projects in an agile, iterative or multi-generational manner.
Eager to learn, enthusiastic, motivated and a self-starter.
Must be an analytical thinker and problem solver, as well as possess and display effective organizational and communication skills.
Ability to manage multiple priorities and work under deadline with minimal supervision required.
PHYSICAL DEMANDS
Must be able to sit for extended periods of time.
Must be able to read, write, speak and type English.
Must be able to hear and use a telephone.
Use of computer requires repetitive keystrokes.
WORK ENVIRONMENT
Traditional office setting; remote work available.
Sedentary role

Excellent Benefits * 401K Plan * Competitive Pay * Business Casual Environment * Service-Minded Team Attitude * Positive Workplace * Exciting Growth Potential & More
An Equal Opportunity Employer Minorities/Females/Veteran/Disabled",3.6,Grow Financial,"Brandon, FL",750,1955,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),48.5,35,62,65,1,1,1
Data Scientist,"What you’ll be doing...
Be a part of the team that identifies opportunities for using data analysis to enhance the Verizon Internal Audit team’s role. The team is designed to add value and improve operations within Verizon’s Internal Audit department to provide data analytics, data mining, and continuous auditing strategies and tactics. Team members provide both advisory and analytical support by identifying, developing, documenting, or executing analytics during all relevant stages of an audit.
Assists the Audit Committee of the Board of Directors and Verizon management in accomplishing their objectives by bringing a systematic and disciplined approach to evaluate and improve the effectiveness of the overall control environment, risk management, and governance processes.
Gain extensive exposure to diverse aspects of Verizon's business through audit assist and standalone projects, including reporting dashboards, process automations, continuous auditing/ monitoring and risk assessment models.
Audit assignments include increasing levels of responsibilities and presentations to senior management, making the team an excellent place to succeed for high potential employees.
What we’re looking for...
You’ll need to have:
Bachelor’s degree in Management Information Systems, Computer Science, Accounting, Business, Finance, Economics, Statistics or four or more years of work experience.
Four or more years of relevant work experience in analytics, technology, auditing, accounting, finance, or economics.
Willingness to travel.
Even better if you have:
Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Alteryx, Python and R preferred).
Proficient in the use of Teradata SQL, MS SQL server, and Oracle SQL
Experience with Data Visualization, particularly creating dashboards and executive reporting (Tableau or other).
Knowledge of the tools, technologies and practices needed to perform in-depth analysis of both structured transactional data, and semi-structured or unstructured data.
Experience with data warehousing or analytics in a cloud environment such as AWS.
Demonstrated ability to work independently and within a team in a fast changing environment with changing priorities and changing time constraints.
Strong interpersonal skills and ability to multitask.
Ability to interpret business requests and communicate findings in an intelligible manner.
Ability to communicate technical findings to non-technical audiences.
An understanding of risk management methodology and factors.
When you join Verizon
You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.
Diversity and Inclusion at Verizon
At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.
Equal Employment Opportunity
We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better.",3.9,Verizon,"Ashburn, VA",15000,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),108.0,83,133,20,1,1,1
Principal - Predictive and Prescriptive Analytics,"What you’ll be doing...
As the Principal of Predictive and Prescriptive Analytics on the Consumer Value Based Marketing Business Intelligence team, you will be working at the intersection of big data and marketing. Your focus will be on identifying and recommending revenue and retention opportunities within the Consumer base.
Responsibilities:
Studying inbound Call & Store contacts via the My Offers & Compass tools. Identifying opportunities to improve the customer and Verizon experience and performance.
Leverage pre-staged and real-time AI/ML modeling to optimize financial performance.
Improving various KPIs such as: reducing voluntary churn, improving activation volume, and growing revenue from plan step ups or product adds.
Identifying influenceable cohorts of customers and executing targeted marketing campaigns to drive desired outcomes.
Identifying opportunities, size potential gains, and present an actionable plan.
What we’re looking for...
You have a passion for leveraging data to drive real-world business impacts. You have a knack for telling complex data stories simply to that your audience understands and acts on the insights. You enjoy working in unexplored areas of the business where our understanding is limited and prior best practices are un-established.
You’ll need to have:
Bachelor degree in a technical field (eg. engineering, computer science, mathematics, economics) or four years equivalent work experience.
Six or more years of relevant work experience in analytics, strategic marketing, planning, and financial analysis.
Strong research, analytical, and critical thinking experience.
Strong data mining and visualization skills.
Ability to create compelling narratives to influence decision makers.
SQL and database management experience.
Experience with Microsoft Office and G Suite.
Ability to build detailed and compelling financial business cases.
Even better if you have:
A Degree.
Leadership experience.
Value Based Marketing / CRM experience.
Presentation experience with executive leadership.
Code automation platform experience (BTEQ, R, SAS).
AI / ML data science experience.
Operations Research mathematics experience.
Tableau Desktop and Tableau Server experience.
When you join Verizon
You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.
Equal Employment Opportunity
We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better.",3.9,Verizon,"Basking Ridge, NJ",15000,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),118.5,87,150,20,0,1,1
"Senior Data Scientist , Advanced Analytics","Senior Data Scientist
Raytheon Missiles & Defense (RMD)
Digital Technology, Advanced Analytics
Andover, MA

Are you a self-driven problem solver and continuous learner with a passion for data, applied statistics, machine learning, programming and visualization? If so, you might be interested in the opportunity to join RMD’s Digital Technology Advanced Analytics team as a Data Scientist.

RMD seeks an entrepreneurial analyst capable of working across functional areas with minimal supervision in order to support the application of data science / software engineering methods and techniques for production scale internal use and external research. The successful candidate will work with stakeholders and the Advanced Analytics team to develop analytic products for agile delivery. Products will span manufacturing, engineering, business development, supply chain, and quality control functions.

At RMD, we work together as one global team creating trusted, innovative solutions to make the world a safer place. Our innovation spans all domains: from land and sea to air, space and cyberspace. We’re inspired by a noble mission that’s shared by RMD employees around the globe and an inclusive culture that empowers employees and celebrates their contributions.

This role will be based in Andover, MA. Please note that limited capped budget relocation support will be provided to the selected applicant if they are eligible per company policy. The amount will be discussed at the appropriate stage of our process.

Required Skills:
Demonstrated experience meeting with business stakeholders to identify and develop requirements for strategic use cases and research and development opportunities
Specific use and application of Python (numpy, scipy, pandas, scikit-image, and scikit-learn) to statistical and/or machine learning applications beyond academic examples
Effectively communicate statistical/mathematical techniques to non-technical audiences and senior leadership
Collaborate with data owners and technology teams to source data sets required for analyses
Apply quantitative techniques (normalization, applied statistics) to cleanse and explore large, complex data sets in preparation for further analysis
Apply data reduction, feature selection, and feature engineering techniques
Develop and implement hypothesis tests
Review, enhance, and quality assure operationalized algorithms and models
Iterate on and/or create repeatable, reusable processes and scalable data products with the advanced analytics team
Maintain contemporary expertise on new data science methods, technologies, industry trends and open source packages
Eligibility to obtain a US Govt. Dept. of Defense Secret Clearance as necessary for future projects that require it. Except in rare cases, only US Citizens are eligible to obtain US Clearances.
Desired Skills:
Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, Theano or Caffe
It is important that candidates demonstrate the ability to articulate application of said skills to business results rather than purely academic endeavors.
Familiarity with CNN architectures such as ResNet, Inception, XCeption, NASNet, VGG, UNet, Stacked Hourglass, MobileNet, pix2pix, and CycleGAN
Experience with data visualization applications such as Tableau, Microsoft PowerBI, SAP Lumira, etc.
Ability and eagerness to learn, educate and mentor others
Experience in diverse domains (manufacturing operations, supply chain, finance, engineering, information technology, business development, quality control)
Experience with commercial software development processes: good software hygiene regarding code documentation, unit testing, bug tracking and version control
Familiarity deploying machine learning models in public cloud services such as AWS, Azure, or Google Cloud Platform
Track record of GPU programming, network optimization and deployment for data science applications
Required Education (including Major):
Bachelor’s or higher degree in Statistics, Econometrics, Engineering, Computer Science, Finance, Mathematics or a quantitative degree in other social science or hard science fields

This position requires either a U.S. Person or a Non-U.S. Person who is eligible to obtain any required Export Authorization and required US Security Clearance.
166749
Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.7,Raytheon Missiles & Defense,"Andover, MA",15000,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),161.0,123,199,0,1,1,1
2021 Summer Information Technology Intern,"Information & Digital Technology Intern
Winston-Salem, NC

It’s time to put what you’ve learned in the classroom to work as an Information and Digital Technology Intern. At Reynolds American, Inc., you will have the opportunity to assist the function in delivering creative and innovative technology solutions to achieve maximum business benefit across every facet of RAI and its operating companies. This summer, you’ll gain exposure to real-world projects and established professionals who want to help you succeed. That includes access to our c-suite leadership. You will exercise initiative, creative problem-solving skills, teamwork, and leadership as you interact with other personnel throughout our winning organization. In addition, you will have fun while adding value and encountering outstanding career development support.

Previous Information and Digital Technology Interns have made their mark by delivering on various projects. Their projects included:
Defining metrics and developing operational dashboard to show eCommerce infrastructure health, usage, and performance
Providing agile project management discipline to the owned retail project, participating in the technical workstreams of the project, and providing a technology architecture blueprint that can be used as additional stores are brought online.
Determining data correlations across key data sets within the existing Enterprise Data Warehouse environment and planning for productionalization to allow the process to continually produce outputs for data science users to leverage.
Analyzed existing processes internal to IDT employees, as well as external facing processes to the RAI workforce, to ensure continued viability; updating where necessary and recommending how to ensure these processes remain current going forward

Responsibilities:
Deliver creative and innovative IT and digital solutions
Execute challenging assignments
Collaborate with teams across the Information and Digital Technology function and outside of Information and Digital Technology
Present your findings to our leadership team

Requirements:
Relocation to Winston-Salem, NC
Pursuing an undergraduate degree with complete coursework in Business Administration or Information Technology or Computer Science or Data Science or a related field

Benefits
A competitive salary
Coverage of summer housing costs
Company-provided laptop
Social engagements with the Summer Internship Class
401(k) with up to 6% company match
Free, confidential, personal financial counseling service

About Us:
Reynolds American Incorporated is transforming the tobacco industry for the better. With a team of driven, insightful people—and a family of iconic brands—we’re redefining how adults consume tobacco in the 21st century. A key part of that is our dedication to diversity, including aiming to increase minority representation in full-time roles by 20% by 2025. Join us and earn the chance to leave your mark on our team—all while advancing your own career with the help of a thriving industry leader

Reynolds American Inc. is an indirect, wholly owned subsidiary of British American Tobacco p.l.c., and the U.S. parent company of R. J. Reynolds Tobacco Company; Santa Fe Natural Tobacco Company, Inc.; American Snuff Company, LLC; Niconovum USA, Inc.; Niconovum AB; R. J. Reynolds Vapor Company; Lorillard Licensing Company, LLC; and Reynolds Brands, Inc.
Reynolds American Inc. and its affiliated companies is an Equal Opportunity / Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

Our organization offers a level of challenge, responsibility and creativity for motivated employees that stands apart from the crowd.

We are also committed to employing a diverse workforce and valuing different perspectives, experiences and talents to maximize the company's potential for successfully achieving its business objectives.
-
Only applicants requiring reasonable accommodation for any part of the application and hiring process should contact us directly via email at TalentAcquisition@RJRT.com.
California Privacy Notice",4.3,British American Tobacco,"Winston-Salem, NC",15000,1902,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),42.0,27,57,118,0,1,1
"Sr. Director, Business Analytics - Collections","Overview:
ABOUT OPORTUN

Based in Silicon Valley, Oportun (Nasdaq:OPRT) is dedicated to financial inclusion for the estimated 100 million people in the U.S. who are shut out of the financial mainstream because they don’t have a credit score or have been mis-scored by a traditional credit bureau. As a Community Development Financial Institution (CDFI), Oportun’s mission is to provide inclusive, affordable financial services that empower its customers to build a better future.

Since our first loan in 2006, Oportun has made over 3.8 million loans totaling over $9 billion to customers across 12 states. Oportun’s customers have saved an estimated $1.7 billion in interest and fees compared to the alternatives typically available to them. Oportun has helped more than 860,000 people establish a credit history for the first time.

Oportun was named one of Fast Company’s Most Innovative Companies in the World for 2020, a TIME Magazine 2018 Genius Company in recognition of its impact in helping to reinvent the future of lending. Oportun was recently named one of the Top Workplaces for 2019 and 2020 by the Bay Area News Group and recognized as the Best Consumer Lending Product by FinTech Breakthrough. Oportun previously made several fastest-growing lists, including Inc. 5000’s Fastest-Growing Private Companies in America and the San Francisco Business Times’ Fastest Growing Private Companies.

ABOUT RISK MANAGEMENT @ OPORTUN

We are building a world-class team of fun, entrepreneurial risk managers who want to innovate, truly help people, and build a great company. Be part of the team responsible for developing and enhancing Oportun’s overall collections and customer engagement strategy. In this role you will drive improved efficiency while enhancing overall customer experience by leveraging advanced data analytics to segment Oportun’s customer base to determine the optimal technology driven engagement strategy. This is an exciting opportunity in a fast-paced organization where your contributions can have a meaningful impact on driving customer satisfaction.

SUMMARY
As a Sr. Director of Collections Analytics, you will be responsible for evaluating and developing customer communication and payment resolution strategies. You will partner closely with cross functional teams to transform Oportun’s omni-channel customer engagement capabilities leveraging technology, effective marketing and analytics. You will help improve customer engagement and resolution rates across multiple channels by leveraging models and analytics to determine the optimal communication strategy across numerous channels, i.e. mobile, web, chat, phone, email, social media, etc. This is a highly visible role that will help ensure Oportun continues to meet its credit loss and servicing cost objectives, while delivering an excellent customer experience. This is a leadership role where you will manage a team of highly skilled analysts and continue to build and develop the team over time.

To be considered for this position, you will need extensive experience in analytics and strategic decision making focused on marketing, collections and risk management. You will also need experience in project and stakeholder management.

Responsibilities:
Lead customer communication and payment resolution initiatives via advanced analytics, modeling and technology
Increase customer engagement and operational efficiency by optimizing channel contact strategy across numerous communication channels
Improve customer resolution rate and loan level NPV by developing effective segmentation and optimizing resolution strategies
Work with the Data Science team to build predictive behavior models and leverage models in champion/challenger tests
Gain deep understanding of Oportun’s customer base and conduct insight driven analytics to identify areas of improvement
Support capacity planning for a rapidly growing Collections team spread across multiple call centers
Partner with Operations team to proactively solve problems
Partner with engineering team to build new solutions to improve customer experience
Partner with Marketing to build out effective communication
Qualifications:
8+ years of experience in an analytical role in the financial services industry and 5+ years of experience in Collections analytics role and risk management role.
Advanced SQL skills, familiar with SAS and reporting automation programs (Python, C++).
Advanced Microsoft Excel and PowerPoint skill.
Exceptional problem solving and analytical skills with the ability to maintain the highest standard of integrity, accuracy and precision.
Excellent written and oral communication skills.
Experience managing projects across multiple departments, including the ability to plan, organize and execute the operational aspects of a strategy change.
Strong interpersonal and relationship building skills needed to manage partnerships with internal teams and external vendors.
Bachelor’s Degree in Engineering, Mathematics, Statistics, Economics, Finance, or other analytical discipline. Master’s degree preferred.
#LI-DD1
#IND",4.2,Oportun Inc,"San Carlos, CA",3000,2005,Company - Public,Lending,Finance,Unknown / Non-Applicable,147.5,100,195,15,1,1,1
Applications Developer,"Application Developer is responsible for analysis, design, development, and documentation of solutions that create new user experiences for our members and automate business processes for our internal staff. Works both collaboratively within the data science team and individually on solo software development efforts. Application Developer includes creating, maintaining, and implementing the source code which may consist of prototype application development and redesign of existing applications using various languages such as Java, C#, and JavaScript XML. Once developed, the Application Developer is responsible for testing, debugging, and documentation. The ideal candidate enjoys interpreting requirements into working code and creating technical documentation for product stakeholders.
Responsibilities:
Employs Test Driven Development for new and existing applications or programmed solutions.
Leads integration testing effort for a solution.
Creates and executes documented test cases to ensure that application and technical environments meet requirements.
Performs decomposition of documented design into technical specifications. Translates use cases into functional working applications that deliver the expected user experience.
Builds user interface applications and back-end databases using various programming and scripting languages.
Conducts assessment of code compliance with style guides and coding standards to promote consistency in development practices across all programming languages utilized by the data science team.
Ensures technical documentation is aligned with the application produced. Maintains the code repository for the data science team.
Creates and tests bug fixes and other enhancements, for applications in production.
Develops solutions using the appropriate language to include but not limited to C#, C++, Python, Java, or JavaScript XML.
Assists business units with User Acceptance Testing.
Education and Experience:
Four-year degree from a college or university specializing in Computer Science or related field(s) required and must have completed coursework in C#, C++, and Java
2 years related experience; or Master’s Degree in Computer Science or related field.
Familiarity with adapting various APIs for custom applications preferred.
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",3.3,Langley Federal Credit Union,"Newport News, VA",750,1936,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,54.0,40,68,84,1,1,1
